record_id,cat_id,record_date,weight_lbs,health_score,vaccination_current,vet_visit,notes
1,19,2022-08-08,13.2,7,True,False,
2,19,2022-09-08,12.4,5,True,False,
3,19,2022-10-07,12.5,6,True,False,
4,19,2022-11-05,13.3,6,True,False,
5,19,2022-12-02,12.9,5,True,False,
6,19,2022-12-30,13.0,7,True,False,
7,19,2023-02-03,13.0,5,True,False,
8,19,2023-03-05,11.5,5,True,False,
9,19,2023-03-31,11.2,5,True,False,
10,19,2023-05-02,12.8,5,True,False,
11,19,2023-06-05,13.0,5,True,False,
12,19,2023-07-02,12.7,5,True,False,
13,19,2023-08-03,12.4,6,True,False,
14,19,2023-09-01,12.8,5,True,False,
15,19,2023-09-30,12.0,5,True,False,
16,19,2023-11-04,13.3,6,True,False,
17,19,2023-12-03,13.1,7,True,False,
18,19,2023-12-30,12.5,5,True,False,
19,19,2024-01-26,11.9,6,True,False,
20,19,2024-02-22,12.2,5,True,False,
21,19,2024-03-28,12.3,7,True,False,
22,19,2024-04-22,11.0,7,True,False,
23,19,2024-05-27,12.2,5,True,True,
24,19,2024-07-30,13.5,6,True,False,
25,19,2024-08-24,13.0,7,True,False,
26,19,2024-09-28,12.3,6,False,True,
27,19,2024-10-23,12.6,6,False,False,
28,19,2024-11-18,13.0,6,True,True,
29,19,2024-12-15,12.1,7,True,True,
30,19,2025-01-18,11.9,7,True,False,
31,20,2022-11-19,6.3,10,True,False,
32,20,2022-12-18,6.4,10,True,False,
33,20,2023-01-22,5.0,10,True,False,
34,20,2023-02-24,5.3,10,True,False,
35,20,2023-03-31,7.1,9,True,False,
36,20,2023-05-02,5.2,10,True,False,
37,20,2023-06-04,5.2,10,True,False,
38,20,2023-08-04,6.5,10,True,False,
39,20,2023-08-29,5.1,9,True,False,
40,20,2023-09-28,5.4,10,True,False,
41,20,2023-10-26,6.6,10,True,False,
42,20,2023-11-20,5.7,10,True,False,
43,20,2023-12-21,5.8,10,True,False,
44,20,2024-01-21,5.5,10,True,False,
45,20,2024-02-23,6.2,10,True,False,
46,20,2024-03-27,5.1,9,True,False,
47,20,2024-05-01,6.3,10,False,False,
48,20,2024-05-29,5.9,9,True,False,
49,20,2024-07-03,5.8,10,True,False,
50,20,2024-08-02,5.3,10,True,False,
51,20,2024-08-31,6.3,10,True,False,
52,20,2024-09-26,5.2,9,True,False,
53,20,2024-10-22,6.4,10,True,False,
54,20,2024-11-19,6.8,10,True,False,
55,20,2024-12-24,5.8,10,True,False,
56,20,2025-01-23,5.7,10,True,False,
57,21,2024-06-07,11.1,6,True,False,
58,21,2024-07-09,11.6,7,True,False,
59,21,2024-08-13,11.3,6,True,False,
60,21,2024-10-11,10.2,7,True,False,
61,21,2024-11-09,10.8,5,True,False,
62,21,2025-01-10,10.8,7,True,True,
63,22,2023-03-18,18.8,7,True,False,
64,22,2023-04-12,19.2,7,True,False,
65,22,2023-05-08,18.7,6,True,False,
66,22,2023-06-05,18.3,7,True,False,
67,23,2023-01-29,9.6,9,True,True,
68,23,2023-02-23,10.0,7,True,False,
69,23,2023-03-30,9.0,7,True,False,
70,23,2023-05-01,8.9,9,True,False,
71,23,2023-06-02,8.9,9,True,False,
72,23,2023-06-28,7.9,9,True,True,
73,23,2023-07-29,9.2,9,True,False,
74,23,2023-08-29,9.0,8,True,False,
75,23,2023-09-23,8.4,8,True,False,
76,23,2023-10-26,9.1,7,True,False,
77,23,2023-11-23,9.5,9,True,False,
78,23,2023-12-20,10.0,9,True,False,
79,23,2024-01-15,9.8,7,False,False,
80,23,2024-02-10,9.1,7,True,False,
81,23,2024-03-16,8.9,9,True,False,
82,23,2024-04-11,8.9,8,True,False,
83,23,2024-05-07,9.7,7,True,False,
84,23,2024-06-11,8.6,9,True,False,
85,23,2024-07-14,9.0,9,True,False,
86,23,2024-08-10,8.7,9,True,False,
87,23,2024-09-11,9.0,7,False,False,
88,23,2024-10-07,9.2,8,True,False,
89,23,2024-11-09,9.0,9,True,False,
90,23,2024-12-05,9.7,8,True,False,
91,23,2024-12-30,9.7,9,True,False,
92,24,2023-08-21,11.2,9,True,False,
93,24,2023-09-25,11.7,9,True,False,
94,24,2023-11-19,11.0,7,True,False,
95,25,2023-06-06,12.2,7,True,False,
96,25,2023-07-03,13.2,8,True,False,
97,25,2023-07-31,12.9,9,True,False,
98,26,2024-01-02,12.5,7,True,False,
